MARCA,MODELO,LINK,CALIDAD,Revisor,Re-revisor,Review Quality OK?,EXPLICACION,COMPOSICIÓN,ILUMINACIÓN,ENFOQUE,EXPOSICIÓN,COLOR,ANGULO,CONTEXTO,EDICION,ENCUADRE,CALIDAD DE IMAGEN
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-titanium-design-mhev-5p-electrico-hibrido-2022-en-madrid-60209211-covo.aspx,MUY BIEN,Rubén ,Lautaro ,OK,"Muchas fotos, buen detalle, luz correcta tanto en el exterior como en el interior.",Las fotos son diversas y estan bien encuadradas ya que se pueden ver muchos angulos del coche,La iluminación es correcta tanto dentro como fuera del coche,El enfoque es bueno no hay fotos borrosas,La exposicion tambien es buena porque no hay fotos quemadas ni muy oscuras,El color en la imagen es bueno y no presenta errores de saturacion ,Las fotos cubren muchos angulos del coche y no estan desviados ,Venta de coches,Las imagenes no poseen signos de edicion aunque igual si han usado recortes y tambien esta la marca de agua,Las imagnes estan bien encuadraadas ya que muestran correctamente el coche sin dejar ninguna foto a la mitad,La imagen posee una buena calidad aunque podria ser algo mejorable
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-titanium-design-mhev-5p-electrico-hibrido-2022-en-madrid-60142828-covo.aspx,BIEN,Adrian,Lautaro ,OK,"Muchas fotos, buena calidad de ellas, bien iluminadas y muestra el coche entero en buena calidad, ciertos aspectos mejorables.","Mejorable, en algunas fotos el encuadre podria ser mas centrado y simetrico para resaltar mejor las lineas y las caracteristicas del vehiculo","Bien iluminadas, se ven todos los detalles sin sombras molestas ni sobreeexposicion","Buen enfoque, las imagenes son claras y enfocadas haciendo que se vea bien el estado del coche",Las fotos no se ven sobreexpuestas asi que la exposicion es suficientemente buena,El color esta bien representado en general especialmente en exteriores con luz natural sin embargo hay ligeras variaciones en algunas tomas interiores donde la iluminación artificial tiende a amarillear la pintura.,Fotos desde la mayor parte de angulos disponibles mostrando correctamente el vehiculo,Venta de coches,"No hay indicios de una edicion digital agresiva, por lo que la edicion de la imagen es correcta","Encuadre mejorable, mas centrado y simetrico a poder ser","Las imagenes poseen una calidad media-buena viendo correctamente el vehiculo, alguna foto mejorable."
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-titanium-mhev-5p-electrico-hibrido-2021-en-madrid-60185102-covo.aspx,BIEN,Ramón ,Lautaro ,OK,"Muchas fotos, mostrando el coche completo.",Las fotos abarcan la totalidad del coche desde los diferentes angulos,La luz es homogenea y agradable a la vista,Estan bien enfocadas tanto en los planos generales como detalle,"Tienen una buena exposicion, sin provocar partes quemadas ni muy oscuras",No hay saturación en las fotos,Son angulos buenos y abarcan todo el coche,Venta de coches,No parecen estar editadas salvo por la marca de agua,Son encuadres adecuados y muestran las partes importantes del coche,Son de buena calidad
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-stline-design-mhev-5p-electrico-hibrido-2022-en-madrid-60142832-covo.aspx,MUY MALA,Santiago,Ruben,OK,"Solo una foto, el panel de luces.",Plano detalle,"Luz heterogénea, se distinguen las sombras.","Bien enfoquado, el fondo y el panel de control de luces se distinguen","La exposición es buena, no se encuentran brillos ni sombras duras",El color se contasta entre azul y gris oscuro,"Angulo bueno, se muestra el panel",Venta de coches,Marca de agua ,"Encuadre bueno, centrado al panel",Buena calidad
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-stline-mhev-5p-electrico-hibrido-2022-en-madrid-60170282-covo.aspx,BIEN,Alejandro,Ramón,OK,"Buenas fotos, buena iluminación y detalladas.",Foto rectas y explicativas bien enfocadas,Luz homogénea y constante,buen enfoque no borroso,Tiene una buena exposición no está quemada,No tiene errores de saturación,buen angular el cual muestra todo el coche,Venta de coche,No se aprecian rastros de edición o correctores de luz,El coche aparece siempre en la cámara sin ser recortado,buena
Ford,,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-madrid-60384241-covo.aspx,MUY MALA,Alejandro,Ruben,OK,El anuncio no posée fotos.,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,No hay fotos,Venta de coches,No hay fotos,No hay fotos,No se puede calificar
Ford,,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-madrid-60547165-covo.aspx,BIEN,Ruben,Ramón,OK,"Bastantes fotos, iluminación algo mejorable, buenos ángulos.",Las fotos son diversas y muestran varios puntos del coche,"La iluminación exterior en la mayoria de fotos es buena pero en las dos finales se nota el exceso de luz, respecto a la luz interior esta bien",Las fotos estan bien enfocadas no hay ninguna borrosa,Hay algo de exceso de exposicion en las dos ultimas fotos pero en el resto es correcto,El color del coche se muestra bien representado ya que no hay problemas de saturacion,Los angulos son buenos y muestran todas las partes del coche,Venta de coches,Marca de agua el resto bien,El encuadre es bueno y enseña lo principal de manera correcta,La calidad es normal
Ford,,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-active-x-5p-electrico-hibrido-2021-en-madrid-60179671-covo.aspx,BIEN,Lautaro,Ruben,OK,20 fotos bien tomadas y con diversos planos detalle.,5 planos generales y 15 planos detalle,iluminación correcta ligeramente apagada de los laterales del coche,"Ligero desenfoque en algunas fotos de plano detalle, resto de fotos con correcto enfoque","Exposicion correcta ligeramente sobre expuesto en algunas fotos, visibilidad homogénea ",Colores ligeramente saturados pero bien visibles,"Angulos en plano detalle un poco cerrados e inclinados, angulos exteriores bien estabilizados",Foto en espacio interior con iluminación superior,"Ligera, efecto desenfoque en una foto en particular",Apenas desencuadrado hacia los lados,"Calidad optima, fotos detalle buena calidad"
Ford,,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-madrid-60290296-covo.aspx,BIEN,Ramón,Alejandro,OK,Las fotos están bien tomadas y muestran el coche en su totalidad.,Son fotos diversas que muestran todo el coche,La luz ilumina el coche de forma adecuada,Estan bien enfocadas,La exposicion es adecuada y no genera zonas quemadas,No se adivinan variaciones en el color,son buenos angulos,Venta de coches,No parecen estar editadas salvo por la marca de agua,El encuadre deja ver todo el coche,Son de buena calidad
Ford,,https://www.coches.net/ford-puma-10-ecoboost-125cv-stline-mhev-5p-electrico-hibrido-2023-en-madrid-60128290-covo.aspx,MUY BIEN,Adrian,Santiago ,OK,"22 fotos mostrando todo del coche y todas ellas cuentan con una buena composición, iluminación, enfoque y mas características.","Variedad de angulos, la mayoria de imagenes estan bien encuadradas y el fondo de estas es bueno tambien siendo neutro y atrayendo la atencion simplemente al vehiculo","Uniforme y natural, buena iluminación",Imagenes claras y nitidas con una adecuada profundidad de campo para enfocar correctamente el vehiculo,"Todas las zonas bien iluminadas, sin sobreexposicion y viendo todos los detalles correctamente","Saturacion adecuada, los colores del coche y de su entorno se muestran de manera precisa",Fotos desde muchos angulos haciendo posible la vista del coche totalmente correcta,Venta de coches,"No parecen estar editadas de mas, asi que la edicion parece ser correcta","Bien encuadradas la gran mayoria, muy pocas con ligeros aspectos mejorables",Buena calidad
